date,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-03-10,,80778,285,61475,3158,4492,79,24,31,1578,22,0,,-69.0
2020-03-11,,80793,253,62793,3169,4257,85,15,33,1318,11,0,,-79.0
2020-03-12,,80813,147,64111,3176,4020,88,20,33,1318,7,0,,-85.0
2020-03-13,,80824,115,65541,3189,3610,95,11,17,1430,13,0,,-88.0
2020-03-14,,80844,113,66911,3199,3226,111,20,39,1370,10,0,,-95.0
2020-03-15,,80860,134,67749,3213,3032,123,16,41,838,14,0,,-111.0
2020-03-16,,80881,128,68679,3226,2830,143,21,45,930,13,0,,-123.0
2020-03-17,,80894,119,69601,3237,2622,155,13,21,922,11,0,,-143.0
2020-03-18,,80928,105,70420,3245,2314,189,34,23,819,8,0,,-155.0
2020-03-19,,80967,104,71150,3248,2136,228,39,31,730,3,0,,-189.0
2020-03-20,,81008,106,71740,3255,1963,269,41,36,590,7,0,,-228.0
2020-03-21,,81054,118,72244,3261,1845,314,46,45,504,6,0,,-269.0
2020-03-22,,81093,136,72703,3270,1749,353,39,47,459,9,0,,-314.0
2020-03-23,,81171,132,73159,3277,1573,427,78,35,456,7,0,,-353.0
2020-03-24,,81218,134,73650,3281,1399,474,47,33,491,4,0,,-427.0
2020-03-25,,81285,159,74051,3287,1235,541,67,58,401,6,0,,-474.0
2020-03-26,,81340,189,74588,3292,1034,595,55,49,537,5,0,,-541.0
2020-03-27,,81394,184,74971,3295,921,649,54,29,383,3,0,,98.0
2020-03-28,,81439,174,75448,3300,742,693,45,28,477,5,0,,-649.0
2020-03-29,,81470,168,75770,3304,633,723,31,17,322,4,0,,-693.0
2020-03-30,,81518,183,76052,3305,528,771,48,44,282,1,0,,0.0
2020-03-31,,81554,172,76238,3312,466,806,36,26,186,7,0,,35.0
2020-04-01,,81589,153,76408,3318,429,841,35,20,170,6,0,,35.0
2020-04-02,,81620,135,76571,3322,379,870,31,12,163,4,0,,29.0
2020-04-03,,81639,114,76751,3326,331,888,19,11,180,4,0,,18.0
2020-04-04,,81669,107,76964,3330,295,913,30,11,213,3,0,,25.0
2020-04-05,,81708,88,77078,3331,265,951,39,10,114,1,0,,38.0
2020-04-06,,81740,89,77167,3331,211,983,32,12,89,0,0,,32.0
2020-04-07,,81802,83,77279,3333,189,1042,62,12,112,2,0,,59.0
2020-04-08,,81865,73,77370,3335,176,1103,63,17,91,2,0,,61.0
2020-04-09,,81907,53,77455,3336,144,1141,42,3,85,1,0,,38.0
2020-04-10,,81953,44,77525,3339,141,1183,46,8,70,3,0,,42.0
2020-04-11,,82052,82,77575,3339,139,1280,99,49,50,0,0,,97.0
2020-04-12,,82160,72,77663,3341,121,1378,108,6,88,2,0,,98.0
2020-04-13,,82249,72,77738,3341,116,1464,89,3,75,0,0,,86.0
2020-04-14,,82295,73,77816,3342,113,1500,0,11,0,0,0,,36.0
2020-04-15,,82341,63,77892,3342,95,1534,46,4,76,0,0,,34.0
2020-04-16,,82692,62,76979,4632,89,1549,26,3,52,0,0,,15.0
2020-04-17,,82719,63,77029,4632,85,1566,27,5,50,0,0,,17.0
2020-04-18,,82735,48,77062,4632,85,1575,0,2,0,0,0,,9.0
2020-04-19,,82747,43,77084,4632,81,1583,0,2,0,0,0,,8.0
2020-04-20,,82758,37,77123,4632,82,1587,0,3,0,0,0,,4.0
2020-04-21,,82788,35,77151,4632,78,1610,0,3,0,0,0,,23.0
2020-04-22,,82798,20,77207,4632,63,1616,10,0,56,0,0,,6.0
2020-04-23,,82804,20,77257,4632,57,1618,6,2,50,0,0,,2.0
2020-04-24,,82816,17,77346,4632,49,1629,0,3,0,0,0,,11.0
2020-04-25,,82827,15,77394,4632,51,1634,0,0,0,0,0,,5.0
2020-04-26,,82830,10,77474,4633,52,1636,0,5,0,0,0,,2.0
